trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-104.31075656664123,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9025}",25,0,-161.71071531001755,"{0: 14, 1: 0, 2: 6, 3: 4, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.857375}",20,0,-37.37785324553515,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.81450625}",20,0,-46.48306146068851,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809375}",20,0,0.10975847975455277,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.735091890625}",20,0,-125.7093106898345,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937501}",25,0,-70.1499950821303,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890626}",30,0,7.523554409000548,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246094}",25,0,-71.48590405019903,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383789}",20,0,-41.87462331593206,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.56880009227646}",35,0,-49.210512011699265,"{0: 29, 1: 3, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.540360087662637}",20,0,-27.294197435554526,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795051}",30,4,20.64827752240863,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552987}",25,5,-46.80807687161828,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.4632912301597534}",25,0,-96.21204579772902,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.4401266686517657}",20,0,13.551120141062178,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.4181203352191774}",20,0,10.548277292383746,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.39721431845821853}",30,9,-93.38876814964536,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1
