trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.995}",25,0,-138.80857573022587,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.990025}",20,0,-74.5841114574552,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.985074875}",20,0,-80.39968374633986,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.9801495006250001}",25,0,-139.8129644036955,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.9752487531218751}",25,0,-125.29785849553967,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.9703725093562657}",25,0,-138.7654454236212,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.75, 'e': 0.9655206468094844}",30,0,-124.08437933955261,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.960693043575437}",20,0,-84.59539170614221,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.9558895783575597}",20,0,-99.24247829578633,"{0: 9, 1: 8, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.9511101304657719}",20,0,-29.958761841024167,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.946354579813443}",20,0,-135.78149943543167,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.9416228069143757}",25,0,-140.17759892094168,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.9369146928798039}",25,0,-33.19232492663133,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.9322301194154049}",25,0,-129.05040498109716,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.9275689688183278}",30,0,-146.02316924885298,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9229311239742362}",20,0,-75.84448600482395,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.75, 'e': 0.918316468354365}",25,0,-112.76451990609013,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.9137248860125932}",25,0,-205.99277938390975,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.75, 'e': 0.9091562615825302}",20,0,-16.823014386775444,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
