trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-104.31757299596705,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-80.86807410864844,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-44.88751534804732,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-113.90262720801908,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-9.455493603099029,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,13,-47.64397845440671,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-149.28710411240212,"{0: 16, 1: 0, 2: 13, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,1,-112.4779466747237,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-269.68797832170725,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-137.44629351968044,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-118.70977686559674,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-102.33994499544383,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-128.946144678484,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-126.78829850244134,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-16.871998114118185,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-98.68445313699482,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-209.4772216055903,"{0: 11, 1: 0, 2: 10, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,11,-121.93416287274843,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-78.35265922289872,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-158.73109596659577,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-106.67110411144087,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-99.52319972061761,"{0: 16, 1: 5, 2: 9, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-29.705840668026955,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,-101.00247437459633,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,-189.3890765221593,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-171.28053643387642,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,-102.30153156687997,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-98.3742564993101,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-211.08378745928383,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-158.28642719107802,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
